id,age,female,ethnic,r_black,r_latino,r_asian,r_other,uscit,NYCyears,class,salary,edu,ladder,length_mean,looks
p1,19,0,3,0,1,0,0,0,15,2,1,2,5,1.7972223,9.333333333
p2,28,1,1,0,0,0,0,0,4,3,2,4,8,1.3166667,2.833333333
p3,29,0,1,0,0,0,0,0,0.5,4,8,3,8,1.27,3.5
p4,27,0,1,0,0,0,0,1,NA,4,2,4,6,1.2,1.333333333
p5,18,0,NA,0,0,0,1,0,6,3,3,2,4,2.1733334,4.5
p6,30,0,3,0,1,0,0,0,7,3,3,3,5,1.4857143,3
p7,36,0,1,0,0,0,0,0,9,4,8,4,8,1.8311111,6.166666667
p8,37,0,1,0,0,0,0,0,NA,4,7,4,8,1.6433333,3.5
p9,24,0,1,0,0,0,0,0,2,4,2,3,6,1.4833333,2
p10,30,0,1,0,0,0,0,1,1,3,3,4,5,1.8428571,4.166666667
p11,23,0,NA,0,0,0,1,0,1,NA,NA,4,9,1.7288889,5.5
p12,23,0,NA,0,0,0,1,1,1.5,3,4,4,7,1.7666667,1.333333333
p13,22,0,1,0,0,0,0,0,4,3,1,2,8,1.6666666,1.833333333
p14,22,0,3,0,1,0,0,0,22,3,2,2,6,1.2533333,4.5
p15,22,0,NA,0,0,0,1,0,0,2,1,2,3,1.5190476,4.5
p16,27,0,1,0,0,0,0,0,1,2,4,3,6,1,0.333333333
p17,30,0,1,0,0,0,0,0,7,5,8,4,8,1.125,0.833333333
p18,29,0,1,0,0,0,0,1,3,4,6,4,8,1.9166666,2.333333333
p19,21,1,2,1,0,0,0,0,21,2,2,2,5,1.7266667,4
p20,26,0,1,0,0,0,0,0,2,4,3,4,7,1.5666666,2.166666667
p21,50,0,NA,0,0,0,1,NA,22,3,6,2,7,1.3766667,2.666666667
p22,27,1,2,1,0,0,0,0,27,4,8,NA,7,1.3666667,3
p23,25,0,2,1,0,0,0,0,25,2,2,2,7,1.4166667,2
p24,18,0,3,0,1,0,0,0,0,3,NA,2,8,1.4657143,9.166666667
p25,25,0,1,0,0,0,0,0,2,3,8,3,7,1.55,2.666666667
p26,35,0,2,1,0,0,0,0,10,4,8,2,10,1.6666666,2.833333333
p27,23,0,1,0,0,0,0,0,5,2,3,3,4,1.9,2.666666667
p28,21,0,3,0,1,0,0,0,21,2,4,2,4,1.6016667,6.666666667
p29,18,0,1,0,0,0,0,0,0,4,NA,2,9,1.5805556,4.666666667
p30,19,0,2,1,0,0,0,0,0,3,1,2,8,1.5785714,4.833333333
p31,25,1,3,0,1,0,0,1,8,3,3,3,6,1.3541667,2.666666667
p32,24,0,1,0,0,0,0,0,24,4,1,3,8,1.8333334,5.166666667
p33,20,1,4,0,0,1,0,1,1,4,1,3,8,1.3527778,7.666666667
p34,26,0,4,0,0,1,0,0,NA,4,5,4,8,2.5,3
p35,30,0,1,0,0,0,0,0,10,3,4,3,7,1.9166666,1.666666667
p36,19,0,4,0,0,1,0,0,NA,4,NA,2,6,1.505,8.833333333
p37,29,0,1,0,0,0,0,0,29,4,NA,4,7,1.6040477,6.833333333
p38,19,0,2,1,0,0,0,0,2,4,5,2,6,1.7722223,5.833333333
p39,18,0,2,1,0,0,0,0,16,3,1,NA,6,,
p40,28,0,1,0,0,0,0,0,4.5,4,6,3,7,2.0066667,6.166666667
p41,25,0,1,0,0,0,0,1,0,4,3,NA,7,1.9666667,3.666666667
p42,36,0,NA,0,0,0,1,0,15,3,3,2,7,1.9666667,2.166666667
p43,22,0,1,0,0,0,0,0,0,3,1,3,5,1.6536365,6.666666667
