id,age,female,ethnic,r_black,r_latino,r_asian,r_other,uscit,NYCyears,class,salary,edu,ladder,length_mean,looks
1,19,0,3,0,1,0,0,0,15,2,1,2,5,1.7972223,9.333333333333334
2,28,1,1,0,0,0,0,0,4,3,2,4,8,1.3166667,2.833333333333333
3,29,0,1,0,0,0,0,0,.5,4,8,3,8,1.27,3.5
4,27,0,1,0,0,0,0,1,,4,2,4,6,1.2,1.333333333333333
5,18,0,,0,0,0,1,0,6,3,3,2,4,2.1733334,4.5
6,30,0,3,0,1,0,0,0,7,3,3,3,5,1.4857143,3
7,36,0,1,0,0,0,0,0,9,4,8,4,8,1.8311111,6.166666666666667
8,37,0,1,0,0,0,0,0,,4,7,4,8,1.6433333,3.5
9,24,0,1,0,0,0,0,0,2,4,2,3,6,1.4833333,2
10,30,0,1,0,0,0,0,1,1,3,3,4,5,1.8428571,4.166666666666667
11,23,0,,0,0,0,1,0,1,,,4,9,1.7288889,5.5
12,23,0,,0,0,0,1,1,1.5,3,4,4,7,1.7666667,1.333333333333333
13,22,0,1,0,0,0,0,0,4,3,1,2,8,1.6666666,1.833333333333333
14,22,0,3,0,1,0,0,0,22,3,2,2,6,1.2533333,4.5
15,22,0,,0,0,0,1,0,0,2,1,2,3,1.5190476,4.5
16,27,0,1,0,0,0,0,0,1,2,4,3,6,1,.3333333333333333
17,30,0,1,0,0,0,0,0,7,5,8,4,8,1.125,.8333333333333334
18,29,0,1,0,0,0,0,1,3,4,6,4,8,1.9166666,2.333333333333333
19,21,1,2,1,0,0,0,0,21,2,2,2,5,1.7266667,4
20,26,0,1,0,0,0,0,0,2,4,3,4,7,1.5666666,2.166666666666667
21,50,0,,0,0,0,1,,22,3,6,2,7,1.3766667,2.666666666666667
22,27,1,2,1,0,0,0,0,27,4,8,,7,1.3666667,3
23,25,0,2,1,0,0,0,0,25,2,2,2,7,1.4166667,2
24,18,0,3,0,1,0,0,0,0,3,,2,8,1.4657143,9.166666666666666
25,25,0,1,0,0,0,0,0,2,3,8,3,7,1.55,2.666666666666667
26,35,0,2,1,0,0,0,0,10,4,8,2,10,1.6666666,2.833333333333333
27,23,0,1,0,0,0,0,0,5,2,3,3,4,1.9,2.666666666666667
28,21,0,3,0,1,0,0,0,21,2,4,2,4,1.6016667,6.666666666666667
29,18,0,1,0,0,0,0,0,0,4,,2,9,1.5805556,4.666666666666667
30,19,0,2,1,0,0,0,0,0,3,1,2,8,1.5785714,4.833333333333333
31,25,1,3,0,1,0,0,1,8,3,3,3,6,1.3541667,2.666666666666667
32,24,0,1,0,0,0,0,0,24,4,1,3,8,1.8333334,5.166666666666667
33,20,1,4,0,0,1,0,1,1,4,1,3,8,1.3527778,7.666666666666667
34,26,0,4,0,0,1,0,0,,4,5,4,8,2.5,3
35,30,0,1,0,0,0,0,0,10,3,4,3,7,1.9166666,1.666666666666667
36,19,0,4,0,0,1,0,0,,4,,2,6,1.505,8.833333333333334
37,29,0,1,0,0,0,0,0,29,4,4,4,7,1.6040477,6.833333333333333
38,19,0,2,1,0,0,0,0,2,4,5,2,6,1.7722223,5.833333333333333
39,18,0,2,1,0,0,0,0,16,3,1,,6,,
40,28,0,1,0,0,0,0,0,4.5,4,6,3,7,2.0066667,6.166666666666667
41,25,0,1,0,0,0,0,1,0,4,3,,7,1.9666667,3.666666666666667
42,36,0,,0,0,0,1,0,15,3,3,2,7,1.9666667,2.166666666666667
43,22,0,1,0,0,0,0,0,0,3,1,3,5,1.6536365,6.666666666666667
44,23,0,1,0,0,0,0,0,1,1,2,3,3,1.7,2
45,,0,,0,0,0,1,0,11,3,4,3,7,1.4,4.666666666666667
46,30,0,1,0,0,0,0,0,4,2,2,2,6,2.25,1.166666666666667
47,28,0,1,0,0,0,0,1,0,3,3,3,6,3,.2
48,48,0,1,0,0,0,0,0,11,4,8,3,3,1.54,3.666666666666667
49,23,0,,0,0,0,1,0,23,3,7,2,4,1.6746031,5.75
50,24,0,1,0,0,0,0,0,24,3,3,3,7,1.7666667,3.833333333333333
51,18,0,,0,0,0,1,1,3,2,4,2,6,1.8169643,7.166666666666667
52,,0,1,0,0,0,0,0,3,4,8,4,7,1.8,2
53,21,1,4,0,0,1,0,0,,4,,3,7,1.875,.8333333333333334
54,24,1,4,0,0,1,0,1,1,,1,4,4,1.375,1.666666666666667
55,27,0,1,0,0,0,0,0,5,3,2,2,6,1.475,7
56,21,0,1,0,0,0,0,0,4,2,,3,8,1.6083333,4.166666666666667
57,19,0,2,1,0,0,0,0,19,1,1,2,4,1.875,1.5
58,26,0,3,0,1,0,0,0,,2,2,2,3,1.8,1.833333333333333
59,37,0,1,0,0,0,0,0,11,2,3,3,4,2.2190475,4.5
60,25,0,,0,0,0,1,1,15,2,3,2,6,2.5999999,1.5
61,32,0,1,0,0,0,0,0,,4,5,4,5,1.3200001,2.666666666666667
62,24,1,1,0,0,0,0,0,0,2,2,3,6,2.0416667,2.833333333333333
63,25,0,4,0,0,1,0,0,1,2,1,4,6,,0
64,20,1,3,0,1,0,0,0,1,3,3,2,10,2,1.166666666666667
65,30,0,2,1,0,0,0,0,0,2,4,4,9,1.9583334,2.166666666666667
66,43,1,,0,0,0,1,0,43,2,3,2,10,2.4166667,3.166666666666667
67,24,0,1,0,0,0,0,0,24,4,1,3,9,1.6333333,5.5
68,21,0,,0,0,0,1,1,.5,4,8,3,7,1.76,3.5
69,28,0,1,0,0,0,0,0,10,3,4,4,6,1.3333334,1.333333333333333
70,22,0,2,1,0,0,0,0,20,1,3,2,1,2.0928571,5.666666666666667
71,35,0,1,0,0,0,0,0,35,5,8,4,10,1.7761905,5.333333333333333
